Provider_Speciality,Total_Providers,Avg_Payment,Total_Payment
"Ambulatory Surgical Center",5411,1301.59,79316237.90
"Internal Medicine",90053,67.87,53855999.96
"Nurse Practitioner",187676,53.27,50442453.21
"Family Practice",78949,56.36,43163255.63
"Diagnostic Radiology",32105,44.24,42684676.44
"Orthopedic Surgery",20741,151.90,39396135.26
"Physician Assistant",101289,54.24,31446210.69
Cardiology,19490,87.39,30965670.50
Ophthalmology,17025,128.22,28466227.95
Dermatology,12342,107.51,22254733.59
Anesthesiology,34523,100.71,20259423.14
"Emergency Medicine",48689,88.98,18724229.51
"General Surgery",19111,138.44,16571053.48
Gastroenterology,14319,104.12,16276614.27
Urology,9063,95.49,15312238.64
"Mass Immunizer Roster Biller",26446,92.94,14614256.79
"Physical Therapist in Private Practice",77296,29.90,12217763.18
"Certified Registered Nurse Anesthetist (CRNA)",39052,100.82,11598108.91
"Radiation Oncology",4891,155.25,11551542.28
Neurology,16010,93.74,11466383.14
