State,Total_Providers,Avg_Payment,Total_Payment
CA,96367,99.88,79870959.12
FL,80193,97.09,66531272.21
TX,80776,87.45,58320393.19
NY,82431,84.75,50883256.63
PA,59281,79.77,33689828.80
IL,48565,81.88,31214492.09
NJ,37851,88.03,27322139.31
OH,48707,76.25,25317139.89
NC,41621,71.59,23796820.57
GA,34284,79.82,21977291.23
VA,31077,80.53,21551924.97
AZ,25171,99.64,21395170.28
MA,36704,78.69,21348875.94
MD,25222,97.32,21269750.55
MI,39713,76.79,20531129.69
TN,28165,72.27,18197239.60
WA,26368,85.04,15763611.46
IN,25010,80.95,15482028.29
SC,19753,76.70,13879109.36
MO,23675,76.79,13696586.42
MN,26667,68.94,13439736.26
CO,20943,84.97,12802102.20
WI,24947,71.55,11616777.16
AL,16908,67.34,10330107.62
LA,16338,76.12,9685960.42
KY,17935,73.42,9559802.55
CT,17128,82.17,9390641.57
OK,13198,78.23,8744792.17
OR,14564,82.44,8538837.49
KS,11769,80.87,8025822.32
MS,9613,76.26,7429909.50
AR,10447,73.01,7296855.15
IA,12140,70.21,7047447.37
NV,9116,95.39,7019352.68
UT,9944,82.11,6078660.69
NE,8484,74.56,5415850.40
NH,7064,79.74,4091461.00
DE,4680,89.62,3441895.90
ID,6493,76.64,3386041.66
NM,6390,75.18,3273774.82
WV,7079,68.54,3264242.37
MT,4713,83.71,2802493.29
ME,6643,66.83,2580103.30
SD,4383,77.08,2572359.36
RI,5018,74.94,2500815.45
DC,3743,96.01,2416377.31
AK,2985,107.58,2391176.98
HI,4093,82.49,2082738.40
ND,3869,74.35,1957267.62
WY,2210,77.14,1406349.15
VT,2915,65.96,1180823.83
PR,3492,53.03,816888.45
GU,210,110.81,197234.15
VI,164,62.21,86590.10
ZZ,72,68.91,27908.28
AP,53,53.86,24293.07
AE,58,72.86,20910.56
XX,25,71.70,17852.99
MP,29,80.63,9998.56
AA,15,40.23,8688.75
FM,1,86.45,432.24
AS,1,65.89,65.89
